KEY,BK_AC_TYPE_ID,ICAO_TYPE_CODE,AC_CATEGORY,EQV_TYPE,EQV_NAME,ICAO_ENGINE_DESC,CO2_COEFF,MASS,BAND_FROM_NM,BAND_TO_NM,BAND_FLOOR_NM,FUEL_TOT,FUEL_TOT_MARG_RATE,CORR_FACTOR,CALC_RETURN_CODE,TINV,S,N,X_BAR,SXX,E,ERROR_TYPE,MASS_RATIO,ERROR_RATE_FUEL_PER_NM,AO_FUEL_VERSION_ID,CREA_DATE,CREA_NOTE,VALID_FROM,VALID_TO
BCS1----,3422,BCS1,Jet <90T,REG AVG_FUEL_PER_NM,Jet <90T,J,3.15,58752.18649,0,999999,0,780.2817151,5.290454377,1.159,,,,,,,,,,,5.1,,,,
BCS3----,3435,BCS3,Jet <90T,REG AVG_FUEL_PER_NM,Jet <90T,J,3.15,66100.76884,0,999999,0,803.8124574,5.52976512,1.159,,,,,,,,,,,5.1,,,,
BE12----,559,BE12,Turbo Prop,REG AVG_FUEL_PER_NM,Turbo Prop,T,3.15,28880,0,999999,0,228.3335908,2.977336478,1.159,,,,,,,,,,,5.1,,,,
BE20----,560,BE20,Turbo Prop,ANCAT WITH NEW MODEL,ANCAT,T,3.15,5785.53545,0,999999,0,59.73875732,1.036767786,1.159,,,,,,,,,,,5.1,,,,
BE30----,67,BE30,Turbo Prop,REG AVG_FUEL_PER_NM,Turbo Prop,T,3.15,6338.413204,0,999999,0,96.35635763,1.093247625,1.159,,,,,,,,,,,5.1,,,,
BE32----,561,BE32,Turbo Prop,REG AVG_FUEL_PER_NM,Turbo Prop,T,3.15,5860,0,999999,0,93.55532807,1.053260511,1.159,,,,,,,,,,,5.1,,,,
BE40----,562,BE40,"Jet <43,3T",AO SAMPLE,BE40,J,3.15,7223.461152,0,999999,0,251.110747,1.146243173,1.159,,,,,,,,,,,5.1,,,,
BE4W----,3506,BE4W,"Jet <43,3T",REG AVG_FUEL_PER_NM,"Jet <43,3T",J,3.15,7220,0,999999,0,264.3655887,1.047720933,1.159,,,,,,,,,,,5.1,,,,
BELF----,1059,BELF,Turbo Prop,REG AVG_FUEL_PER_NM,Turbo Prop,T,3.15,105125,0,999999,0,674.7353565,9.35010677,1.159,,,,,,,,,,,5.1,,,,
BER2----,1552,BER2,"Jet <43,3T",REG AVG_FUEL_PER_NM,"Jet <43,3T",J,3.15,41389.83472,0,999999,0,690.6461182,4.080146914,1.159,,,,,,,,,,,5.1,,,,
